L,Ele,Name,sep,hjust,vjust,xnudge,ynudge,length
57.75,370,р. Лунвож-Сыня,,1,0,-3.5,8,30
63.9,1185,,,,,,,
64.65,1495,г. Сабля,,0.5,0,,,
65.4,1185,пер. Гофмана,,1,0,-4,8,30
72.55,344,р. Седъю,\n,0.5,1,,,
76.3,1000,в. б/н,,0.5,0,,,
87.2,1215,пер. Щель,\n,0.5,0,-4.5,-12,
91.8,1340,пер. Бермелеева,\n,0,0.5,3.5,1,25
92.4,1440,г. Озерная Сев.,\n,0.5,0,,,
93.3,1425,г. Именинник,\n,0,0.5,1,,
93.7,1340,,,,,,,
102.3,308,р. Вангыр,\n,0.5,1,,,
111.1,1060,пер. Медвежий,\n,0,1,,,
114.4,632,р. Харота,\n,0.5,1,,,
117.5,1085,пер. Авангард,\n,0,0,,,
121.45,1635,г. Колокольня Южная,,0.5,0,,,
134.5,388,р. Косью,\n,0,1,,,
140.8,1265,пер. Манараги Северный,,0,0,3,8,40
142.05,1675,г. Манарага Главная,,0.5,0,,,
143.1,1265,,,,,,,
148.1,598,р. Капкан-Вож,\n,0.5,1,,,
152.15,1010,пер. Ступенька,\n,0.5,0,,,
153.75,1020,пер. Тобик,,0,1,,,
177.75,830,пер. Долгий,\n,0.5,0,,,
221.35,186,р. Пальник-Шор,\n,0.5,1,,,
230.1,92,р. Сывъю,\n,0.5,1,,,
